id,phase_id,ordinal,body,active
1,1,1,"Your emotions are so intense and out of control that you can cause serious harm—not just to yourself, but sometimes to others. It might start with small things like snapping at people or feeling constantly irritated, but in extreme cases, it can lead to dangerous situations, even accidental harm.",True
2,1,2,"After going through something painful or life-changing, you might feel lost or unsure about what matters to you, what you believe, or how you fit into the world. It’s not just sadness—it’s a deep confusion about your identity.",True
3,1,3,"You find it hard to rely on people. After going through a painful loss—especially if you felt let down or alone—you might start to question whether others are really there for you. Even small acts of support can feel risky or hard to believe. Your trust isn’t gone, but it’s shaky and needs time to rebuild.",True
4,1,4,"It means your pain isn’t just affecting you—it’s starting to spill over into your relationships. You might be short-tempered, distant, or hard to talk to, and the people around you feel the strain.",True
5,1,5,"You are lashing out at people around you—not because of what those people did, but because you’re hurting inside. The loss has stirred up strong emotions, and anger becomes a way to release that pain. These outbursts might come and go, and they are often aimed at others even when the real cause is grief or frustration.",True
6,1,6,"You are feeling constantly tired and not sleeping well—maybe you’re tossing and turning, waking up often, or just not getting enough rest.",True
7,1,7,"You might feel headaches, stomach aches, muscle tension, or other kinds of pain—but there’s no clear physical cause. The pain is real, but it’s coming from emotional pressure, not injury or illness.",True
8,1,8,"You are pulling away from others and spending a lot of time alone. You might avoid calls, skip social events, or just stay quiet—even with people you usually trust. Being alone might feel safer or easier than trying to explain what you’re going through.",True
9,1,9,"The pain from the loss is so strong that it feels impossible to carry. It’s not just sadness—it’s a deep, overwhelming feeling that makes everything harder, like breathing, thinking, or even getting through the day.",True
10,2,1,"You start to feel like you’re making progress—maybe you understand something better or feel a little stronger—but then you suddenly slip back into sadness, confusion, or pain. It’s like taking a few steps forward and then falling back again.",True
11,2,2,"You start to feel like you don’t matter, or that you’re not good enough. These feelings usually don’t show up right away—they build slowly, especially if you have been hurting for a long time.",True
12,2,3,"You start to feel deeply uncomfortable with yourself. You might feel ashamed of things you did, or didn’t do, or compare yourself to others and feel like you don’t measure up.",True
13,2,4,"You are reacting strongly by blaming others, feeling hateful, or making quick judgments that might not be fair. These reactions are intense and usually directed outward.",True
14,2,5,"You keep thinking about what you could’ve done differently—like “if only I had said something,” or “if only I had acted sooner.” These thoughts go in circles and make you feel guilty or full of regret. It’s especially common when the loss feels like it might’ve been avoided, even if that’s not really true.",True
15,2,6,"The pain hits so hard that it feels impossible to carry. Right after the loss, everything can feel heavy, raw, and overwhelming—like nothing makes sense and nothing helps.",True
16,2,7,"You feel completely worn down—emotionally, mentally, and even physically. You’ve been through so much that it’s hard to imagine things getting better. All the pain, confusion, and stress have piled up, and now it feels like there’s no way forward.",True
17,2,8,"You are struggling to adjust after the loss. Everything feels different—routines, relationships, even how you see the future—and that change is hard to handle. You might feel overwhelmed, stuck, or unsure what to do next.",True
18,2,9,"It’s not just one problem—it’s everything piling up at once, creating a kind of shutdown. You might know you need help or change, but even small steps feel impossible.",True
19,3,1,"You are starting to open up to people again—talking, spending time with others, or just being around you. You might not be ready to make big promises or take on major responsibilities yet, but you’re beginning to reconnect.",True
20,3,2,"You might find a goal, a passion, or a reason to keep going that feels real and motivating. It’s not just about surviving anymore; it’s about growing, building, and moving toward something that matters.",True
21,3,3,"You might feel like it was your fault—even if it wasn’t—and that anger turns inward. Instead of lashing out at others, you punish yourself emotionally, replaying what you did or didn’t do.",True
22,3,4,"Part of you still wishes you could go back and fix things—like undo a decision, say something different, or change the outcome. You might replay moments in your mind, imagining how things could’ve gone differently.",True
23,3,5,"You might be aware that something needs to change, but the steps feel unclear, overwhelming, or unreachable. It’s a quiet, heavy pause where you are starting to see the problem but haven’t yet found the strength or clarity to act.",True
24,3,6,You might feel like you can’t handle help from others—even if that help is kind or well-meant. It’s a sign that your emotional energy is low and you’re trying to protect yourself from feeling even more exposed.,True
25,3,7,"You feel stuck when you have to choose—even small decisions can feel overwhelming. Your mind might be foggy, your emotions drained, and the pressure to “get it right” can make everything harder.",True
26,3,8,"You feel like everything and everyone are getting under their skin. You might snap at small things, lose patience quickly, or seem angry all the time. But underneath that irritability is usually emotional exhaustion or pain. It’s not just anger—it’s a sign that your system is overloaded and struggling to cope.",True
27,4,1,"Being willing to make commitments—like showing up for others, making plans, or taking on responsibilities. Once you start feeling more stable and supported, that willingness slowly grows.",True
28,4,2,"You are starting to believe that things might get better. It’s like seeing a crack of light after a long time in the dark—not enough to feel safe yet, but enough to keep going.",True
29,4,3,"You learn things about yourself, like how much you can handle, how to support others, or how to keep going even when it’s hard. The loss still hurts, but it also helps build strength you didn’t know you had.",True
30,4,4,"You are starting to realize you can adapt more than you thought. You might not feel fully confident yet, but you’re beginning to see that you’ve handled tough situations and made it through.",True
31,4,5,"You are starting to feel more confident, but it’s happening slowly. Each time you make a good choice or handle something well—even something small—it helps you feel a little stronger. These small wins add up, and over time, you begin to trust yourself again. Confidence isn’t back all at once, but it’s growing with each step.",True
32,4,6,"It means the loss is still important—it happened, and it shaped you—but it’s no longer the only thing that explains who you are or how your life is going. It’s like one chapter in a book: it’s still there, but the story has moved on. You’re starting to write new chapters that include growth, change, and other parts of your life.",True
33,4,7,"You have stopped pulling away from others or avoiding problems. You’re starting to show up again—talking to people, facing things instead of hiding from them. The change is like the first sign that you’re ready to reconnect and move forward.",True
34,4,8,"You are starting to get back into the flow of everyday life. You’re picking up routines again—like going to work, taking care of things, or setting new goals. It doesn’t mean everything is perfect, but it shows you’re trying to move forward and rebuild after the loss.",True
